DATE,compresor type,shift A running time,shift B running time,shift C running time,flow shift A,flow shift B,flow shift c ,energy shift A ,energy shift B ,energy shift C ,
,screw3,0,0,0,0,0,0,0,0,0,
29-05-2025,centac,0,3,0,0,0,0,0,0,0,
,screw1,3,2,0,0.202,0.164,0,588.7,459.4,0,
,screw2,4,0,0,0.165,0.131,0,564.8,365.8,0,
,screw3,0,0,0,0,0,0,0,0,0,
30-05-2025,centac,0,2,0,0,0,0,0,0,0,
,screw1,3,1,0,0.177,0.139,0,477.4,390.2,0,
,screw2,5,0,0,0.219,0.073,0,670,204,0,
,screw3,0,0,0,0,0,0,0,0,0,
31-05-2025,centac,0,0,0,0,0,0,0,0,0,
,screw1,3,0,0,0.261,0,0,580.1,0,0,
,screw2,4,0,0,0.226,0,0,553.6,0,0,
,screw3,0,0,0,0,0,0,0,0,0,
01-06-2025,centac,0,-8,0,0,0,0,0,0,0,
,screw1,8,-13,0,0.336,0.431,0,1319.2,1144,,
,screw2,13,0,0,0.529,0.332,0.318,1818.6,878.9,890,
,screw3,0,8,0,0,0,0,0,0,0,
02-06-2025,centac,4,3,8,1.992,2.254,2.348,0,0,0,
,screw1,2,1,0,0.054,0.169,0,472,503.8,0,
,screw2,6,0,0,0.29,0.031,0,1013.2,93.4,0,
,screw3,0,8,0,0,0,0,0,0,0,
03-06-2025,centac,8,0,8,2.702,2.095,2.192,0,0,0,
,screw1,3,0,0,0.013,0.035,0,417.8,112.5,0,
,screw2,2,0,0,0.007,0,0,116.7,15,0,
,screw3,0,8,0,0,0,0,0,0,0,
04-06-2025,centac,8,2,8,2.385,2.222,2.339,0,0,0,
,screw1,3,1,0,0.025,0.153,0,454.3,460.6,0,
,screw2,1,0,0,0.166,0.054,0,105,161.6,0,
,screw3,0,8,0,0,0,0,0,0,0,
05-05-2025,centac,8,3,8,2.127,2.157,2.339,0,0,0,
,screw1,5,3,0,0.276,0.161,0,860.1,463.8,0,
,screw2,3,0,0,0.188,0.172,0,553.8,475.6,0,
,screw3,0,9,0,0,0,0,0,0,0,
06-06-2025,centac,2,0,8,0.033,2.2,2.342,0,0,0,
,screw1,3,0,0,0.192,0,0,590,0,0,
,screw2,5,0,0,0.24,0,0,744.6,0,0,
,screw3,0,8,0,0,0,0,0,0,0,
07-06-2025,centac,8,0,8,2.189,2.171,2.435,0,0,0,
,screw1,2,0,0,0.085,0.019,0,269.1,55.9,0,
,screw2,2,0,0,0.089,0,0,262.2,0,0,
,screw3,0,0,0,0,0,0,0,0,0,
08-06-2025,centac,0,0,0,0,0,0,0,0,0,
,screw1,0,0,0,0,0,0,0,0,0,
,screw2,0,0,0,0,0,0,0,0,0,
,screw3,0,0,0,0,0,0,0,0,0,
09-06-2025,centac,0,0,0,0,0,0,0,0,0,
,screw1,2,0,0,0,0,0,376.4,0,0,
,screw2,0,0,0,0,0,0,106.1,0,0,
,screw3,0,0,0,0,0,0,0,0,0,
10-06-2025,centac,0,0,0,0,0,0,0,0,0,
,screw1,2,0,0,0.11,0,0,293.9,38.5,0,
,screw2,0,0,0,0,0,0,6.2,0,0,
,screw3,0,8,0,0,0,0,0,0,0,
11-Jun,centac,8,1,0,2.138,2.203,0,0,0,0,
,screw1,7,0,0,0.409,0.059,0,1166,177.3,0,
,screw2,3,0,0,0.086,0,0,289.2,0,0,
,screw3,0,0,0,0,0,0,0,0,0,
12-06-2025,centac,0,1,0,0,0,0,0,0,0,
,screw1,3,1,0,0.245,0.077,0,560,222,0,
,screw2,1,0,0,0.17,0.043,0,273.6,118.8,0,
,screw3,0,0,0,0,0,0,0,0,0,
13-06-2025,centac,0,0,0,0,0,0,0,0,0,
,screw1,1,3,0,0.139,0,0,166.9,0,0,
,screw2,4,0,6,0.227,0.108,0.372,527.1,363,1000,
,screw3,0,0,0,0,0,0,0,0,0,
14-06-2025,centac,0,1,0,0,0,0,0,0,0,
,screw1,4,5,0,0.182,0.135,0,532,243.2,0,
,screw2,7,0,6,0.327,0.224,0.337,867.8,981.1,778,
,screw3,0,0,0,0,0,0,0,0,0,
15-06-2025,centac,0,0,0,0,0,0,0,0,0,
,screw1,0,0,0,0,0,0,0,0,0,
,screw2,0,0,0,0,0,0,0,0,0,
,screw3,0,0,0,0,0,0,0,0,0,
16-06-2025,centac,0,3,0,0,0,0,0,0,0,
,screw1,3,2,0,0.158,0.151,0,565.8,440.1,0,
,screw2,4,0,0,0.127,0.095,0,223.8,263,0,
,screw3,0,7,0,0,0,0,0,0,0,
17-06-2025,centac,0,0,1,0,2.503,0.32,0,0,0,
,screw1,1,0,7,0.149,0,0.427,296.9,0,1138,
,screw2,3,0,0,0.255,0,0,552.9,0,0,
,screw3,0,8,0,0,0,0,0,0,0,
18-06-2025,centac,8,1,8,2.319,2.334,0,0,0,0,
,screw1,0,0,0,0,0.025,0.427,0,206.4,1120,
,screw2,6,0,7,0.34,0,0,884.3,101.9,0,
,screw3,0,8,0,0,0,0,0,0,0,
19-06-2025,centac,8,0,0,2.432,2.298,0,0,0,0,
,screw1,5,0,7,0,0,0.426,0,0,1120,
,screw2,0,0,0,0.242,0,0,447.4,0,0,
,screw3,0,8,0,0,0,0,0,0,0,
20-06-2025,centac,8,2,0,2.927,2.323,0,0,0,0,
,screw1,2,0,0,0,0,0,231.5,277.9,0,
,screw2,0,0,7,0.191,0,0.387,394.8,0,1130,
,screw3,0,0,0,0,0,0,0,0,0,
21-06-2025,centac,0,0,0,0,0,0,0,0,0,
,screw1,1,7,0,0.203,0,0,194.2,0,0,
,screw2,0,0,0,0.05,0.286,0,0,1101.9,0,
,screw3,0,0,0,0,0,0,0,0,0,
22-06-2025,centac,0,0,0,0,0,0,0,0,0,
,screw1,0,0,0,0,0,0,0,0,0,
,screw2,0,0,0,0,0,0,0,0,0,
,screw3,0,8,0,0,0,0,0,0,0,
23-06-2025,centac,8,0,0,2.252,2.504,0,0,0,0,
,screw1,5,1,0,0.235,0,0,673.4,102.1,0,
,screw2,3,0,7,0.193,0.015,0.408,509.3,43.5,1050,
,screw3,0,8,0,0,0,0,0,0,0,
24-06-2025,centac,9,0,0,2.79,2.473,0,0,0,0,
,screw1,0,0,0,0,0,0,246,0,0,
,screw2,0,0,2,0,0,0.117,0,0,320,
,screw3,0,8,0,0,0,0,0,0,0,
25-06-2025,centac,8,0,8,2.298,2.31,2.299,0,0,0,
,screw1,2,0,0,0.514,0.007,0,101.6,23.4,0,
,screw2,0,0,0,0,0,0,0,0,0,
,screw3,0,8,0,0,0,0,0,0,0,
26-06-2025,centac,8,0,0,2.324,2.24,0,0,0,0,
,screw1,0,0,0,0,0.016,0,0,46.5,0,
,screw2,0,0,7,0,0,0.374,0,0,920,
,screw3,0,8,0,0,0,0,0,0,0,
27-06-2025,centac,8,2,0,2.683,2.32,0,0,0,0,
,screw1,0,0,0,0,0.111,0,0,335,0,
,screw2,0,0,4,0,0,0.224,0,0,639,
,screw3,0,8,0,0,0,0,0,0,0,
28-06-2025,centac,8,0,0,2.825,2.182,0,0,0,0,
,screw1,0,0,0,0,0,0,0,46,0,
,screw2,0,0,7,0,0,0,0,0,420,
,screw3,0,8,0,0,0,0,0,0,0,
29-06-2025,centac,9,0,0,2.927,2.34,0,0,0,0,
,screw1,0,0,0,0,0.045,0,0,89.8,0,
,screw2,0,0,0,0,0,0,0,0,0,
,screw3,0,0,0,0,0,0,0,0,0,
